categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,27817914.4,8/29/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,27776782.52,8/26/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,476196.25,9/30/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17559092.34,10/10/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4890916781,10/15/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4521118575,10/9/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4758079654,9/16/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19181629.02,9/14/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1323278.25,10/6/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3545408012,10/9/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4925957232,10/12/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18130034.84,9/11/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/22/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3176262685,10/2/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17482199.05,10/16/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,232615.83,9/4/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,185615.83,9/7/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18550237.65,10/13/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3343656098,10/7/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1875476825,9/5/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3047311223,10/4/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,19969935.64,9/9/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,476196.25,10/1/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3280338114,10/1/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4576883290,10/7/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4519663485,10/4/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/22/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1846773014,9/2/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15924343.46,10/8/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4147034683,9/2/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,623278.25,10/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,21242134.94,8/31/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,613672.25,9/13/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16140258.26,9/20/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1680211304,8/30/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/21/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4837097745,9/17/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16279007.25,9/29/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17586757.98,10/19/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,741375.58,8/28/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,513815.83,8/31/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,384815.83,9/3/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,185615.83,9/9/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4487739167,9/18/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,3705575084,8/26/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16246667.52,9/26/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4246450533,9/4/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3721706410,10/14/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1323278.25,10/5/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4155612359,9/1/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2511216753,9/12/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4203177875,9/3/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17157275.46,10/3/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/17/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1606180757,8/25/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16184971.1,9/24/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2905326766,9/23/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3831159512,10/18/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,23278.25,10/9/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18101796.61,9/17/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,184172.25,9/10/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2376767290,9/10/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4459080814,9/13/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2127393348,9/7/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,513815.83,9/1/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2665891653,9/16/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,20920880.44,9/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16281667.52,9/27/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,891375.58,8/25/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/23/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2686201458,9/29/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4902994863,10/2/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,21242134.94,9/1/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2607799113,9/13/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4611754790,9/19/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1323278.25,10/3/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5487524884,10/18/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,3772781640,8/28/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1727169487,8/28/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4522309479,9/10/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/19/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3867495835,10/22/2018,0
Current Account with 1000 Min Bal,9,NPR,CURRENT,403193073.2,10/4/2018,0
Other Working Capital Account,7,NPR,CURRENT,3810.8,10/19/2018,0
